,Intersection,Lead,Arsenic,Lat,Lon
371,Harris@Hampton,24.11,7.12,30.29377,-97.72677
372,Harrison Ln@Ben White ,14.24,0.0,30.22534,-97.67395
373,Hart @ Far West,3.25,0.0,30.35505,-97.75665
374,Haskell@Comal,106.5,0.0,30.25399,-97.73074
375,Hatley @ Wallis,17.0,0.0,30.27698,-97.78379
376,Hatley@Inwood Cir,32.05,16.8,30.27494,-97.78118
377,Haybarn Lane@Docent Cove,0.0,16.0,30.26759,-97.74299
378,Hazelhurst Dr@Villa Park,0.0,0.0,30.46122,-97.77166
379,Hearwood@Thistlewood,11.12,0.0,30.21349,-97.77239
380,Heathrow Dr.@Greenwich Meridien,0.0,0.0,30.42886,-97.77704
381,Hellinger@HWY 95,0.0,7.0,30.26759,-97.74299
382,Henry Kinney Blvd@Escarpment,14.53,3.91,30.21879,-97.87207
383,Hermitage @ Furness -- A,9.0,0.0,30.34711,-97.68607
384,Hero Drive@Travis Green,0.0,0.0,30.25136,-97.84212
385,Highland Haven Dr@Hester Ave,12.73,0.0,30.25995,-97.66924
386,Hillcrest@Samuel Huston,0.0,0.0,30.28035,-97.67565
387,Hog Eye Road@Biffing School Road,7.62,0.0,30.28248,-97.62312
388,Hog Eye Road@Bitting School Road,0.0,4.65,30.28248,-97.62312
389,Holly @ Robert Martinez,50.0,0.0,30.25208,-97.72237
390,Holly@Waller,27.4,0.0,30.25632,-97.73427
391,Hollywood Ave@Edgewood Ave,20.575000000000003,3.725,30.29009,-97.72038
392,Honey @Marquette,9.11,7.17,30.31924,-97.68428
393,Horne Dr. @Checker Dr.,0.0,0.0,30.20077,-97.8401
394,Hornsby@Scurry,4.01,0.0,30.38264,-97.68243
395,Hot Springs@Rotan,0.0,0.0,30.22089,-97.8777
396,Howard Ln@McAllen Pass,0.0,0.0,30.41929,-97.66091
397,Hudson @ Eleanor,29.0,0.0,30.27376,-97.67931
398,Hudson@Delano,110.69,0.0,30.27314,-97.67791
399,Hunt @ Great Northern,0.0,8.0,30.34515,-97.75061
400,Hunt@Treadwell (1st G),0.0,11.0,30.34389,-97.74763
401,Hunt@Treadwell (2nd G),0.0,8.0,30.34389,-97.74763
402,Hunt@Treadwell (3rd G),0.0,7.0,30.34389,-97.74763
403,Hwy 84@Speegleville Rd,19.18,13.21,30.26759,-97.74299
404,I-35 @ Flores,10.0,0.0,30.25374,-97.73625
405,I-35 @ US-183,17.0,0.0,30.33935,-97.70074
406,I-35@Airport Blvd,28.0,0.0,30.30079,-97.71382
407,I-H 290 @ McArthur Dr.,12.0,0.0,,
408,Independence@Rutledge,0.0,0.0,30.2153,-97.8077
409,Indian Mound Dr@N Lamar,0.0,4.0,30.40584,-97.67857
410,Indian Summer Pass@Apache,0.0,7.0,,
411,Inspiration Dr@Gunnison Pass,14.02,0.0,30.30948,-97.65303
412,Iriona Bend@Coastal,0.0,0.0,30.19775,-97.84879
413,Isabelle@Rufus,9.0,8.0,30.33347,-97.71363
