,Full Address,Lat,Lon,Lead,Arsenic
145,"48th,RedRiver,Austin,TX",30.30835,-97.71734,19.55,8.53
146,"SaraDr,EbertAve,Austin,TX",30.26764,-97.68712,23.99,0
147,"ScofieldLn,RampartSt,Austin,TX",30.4187,-97.68999,12.49,0
148,"Pease,Norhumberland,Austin,TX",30.26759,-97.74299,36.53,0
149,"15thst,Pease,Austin,TX",30.27841,-97.74455,14.65,0
150,"Niles,Woodlawn,Austin,TX",30.28641,-97.75868,77.58,0
151,"W.MarySt.,S2nd,Austin,TX",30.24696,-97.75783,13.01,0
152,"jamieDr,Siltstone,Austin,TX",30.26759,-97.74299,12.45,0
153,"Woodlawn,CromwellHill,Austin,TX",30.28553,-97.75913,13.56,0
154,"BelclaireLn,BlueValley,Austin,TX",30.18246,-97.79274,17.15,0
155,"Belfast,Ridgehaven,Austin,TX",30.3127,-97.69703,23.8,0
156,"Cooper,BodarkLn,Austin,TX",30.19486,-97.79348,15.1,0
157,"JeanDr,Applegate,Austin,TX",30.37076,-97.68523,38.17,0
158,"JeanDr,Applegate,Austin,TX",30.37076,-97.68523,13.76,0
159,"49th,Duval,Austin,TX",30.31202,-97.72136,13.46,7.39
160,"Greenheard,Woodbine,Austin,TX",30.29163,-97.75521,23.04,0
161,"49th,Duval,Austin,TX",30.31202,-97.72136,8.37,8.23
162,"12th,Chicon,Austin,TX",30.27376,-97.7199,34.83,0
163,"Pandora,SolWilson,Austin,TX",30.27496,-97.70582,68.94,0
164,"SolWilson,CommunityGarden,Austin,TX",30.27515,-97.70464,60.4,0
165,"42nd,Ramsey,Austin,TX",30.31269,-97.74562,19.99,0
166,"Ridgeway,SolWilson,Austin,TX",30.24292,-97.75565,10.59,0
167,"42nd,Bellevue,Austin,TX",30.26759,-97.74299,8.29,0
168,"Spring,Ridgeway,Austin,TX",30.27378,-97.70428,50.03,0
169,"PewterLn,ButtonBendRd.,Austin,TX",30.20072,-97.73981,15.98,0
170,"Ridgeway,OakSpring,Austin,TX",30.2766,-97.69839,47.82,0
171,"Rosewood,Webberville,Austin,TX",30.27243,-97.70486,49.95,0
172,"S.Manchaca,Frate-Barker,Austin,TX",,,11.74,0
173,"Lott,Nickols,Austin,TX",30.27681,-97.68465,50.47,0
174,"OpenRangeTrl,Abilene,Austin,TX",30.22096,-97.86695,18.19,0
175,"ScotlandWellDr,SpicewoodsSpringsRd,Austin,TX",30.42252,-97.7936,0,0
176,"ScotlandWellDr,SpicewoodsSpringsRd,Austin,TX",30.42252,-97.7936,0,0
177,"ScotlandWellDr,SpicewoodsSpringsRd,Austin,TX",30.42252,-97.7936,0,9.79
178,"ScotlandWellDr,SpicewoodsSpringsRd,Austin,TX",30.42252,-97.7936,0,0
179,"Denton,Delta,Austin,TX",30.38751,-97.71732,0,0
180,"ScotlandWellDr,SpicewoodsSpringsRd,Austin,TX",30.42252,-97.7936,0,0
181,"JillsueCr,WendtsWay,Austin,TX",30.4549,-97.80314,13.52,0
182,"Navasota,Lambie,Austin,TX",30.26759,-97.74299,19.22,0
183,"AACG,40,Austin,TX",30.30981,-97.74551,0,0
184,"AACG,62f,Austin,TX",30.26759,-97.74299,7.33,0
185,"AACG,53,Austin,TX",30.31634,-97.71838,8.79,0
186,"AACG,70,Austin,TX",30.26759,-97.74299,0,0
187,"CrystalBrook,Milrace,Austin,TX",30.3156,-97.65196,7.14,0
188,"AACG,51,Austin,TX",30.30314,-97.69833,9.12,0
189,"AACG,48,Austin,TX",30.31126,-97.7229,10.93,0
190,"AACG,25,Austin,TX",30.28931,-97.74458,0,0
191,"AACG,15,Austin,TX",30.27841,-97.74455,0,20.89
192,"BurlyOak,GainsMill,Austin,TX",30.19819,-97.81403,11.07,0
193,"BurlyOak,GainsMill,Austin,TX",30.19819,-97.81403,14.45,8.19
194,"CeylonTeaCir,Sumatra,Austin,TX",30.21211,-97.83928,13.98,0
195,"14th,Poquito,Austin,TX",30.27591,-97.71932,28.15,0
196,"SanLucasLn,Kavailn,Austin,TX",30.17107,-97.73141,0,0
197,"SoutRidgeLane,RockyRidgeRd,Austin,TX",30.41989,-97.94353,12.73,0
198,"WestslopeDr,F.M.2222,Austin,TX",30.34145,-97.78069,10.24,0
199,"SeviallDr,WestSequoia,Austin,TX",30.2955,-97.74095,12.48,0
200,"Rockwood,Charlwood,Austin,TX",30.3661,-97.73412,0,0
201,"Rockwod,CharlwoodDr,Austin,TX",30.3661,-97.73412,6.89,0
202,"SevillaDr,EastEsparada,Austin,TX",30.32815,-97.68652,16.07,8.29
203,"Rockshelfln,StoneForrest,Austin,TX",30.55963,-97.74026,9.75,0
